policy_id,partner_id,product_id,inception_date,date_of_birth,gender,province,cover_amount,monthly_premium,policy_status,termination_date,source_file,load_timestamp
POL000026,PART001,PRD002,2025-10-02,1993-10-02,M,Gauteng,142600.0,884.12,Active,,policies.csv,2026-09-03 13:30:17
POL000027,PART001,PRD002,2025-09-29,1989-09-29,F,Western Cape,136200.0,844.44,Active,,policies.csv,2026-09-03 13:30:17
POL000028,PART004,PRD008,2025-10-11,1997-10-11,F,Gauteng,100000.0,158.67,Active,,policies.csv,2026-09-03 13:30:17
POL000029,PART002,PRD003,2025-07-14,1986-07-14,M,Gauteng,100000.0,178.0,Active,,policies.csv,2026-09-03 13:30:17
POL000030,PART005,PRD009,2025-09-19,2001-09-19,F,Mpumalanga,126400.0,530.88,Cancelled,2026-05-19,policies.csv,2026-09-03 13:30:17
POL000031,PART003,PRD006,2026-03-28,1993-03-28,M,Western Cape,160200.0,1057.32,Active,,policies.csv,2026-09-03 13:30:17
POL000032,PART001,PRD001,2026-04-02,1972-04-02,M,Gauteng,36000.0,172.8,Active,,policies.csv,2026-09-03 13:30:17
POL000033,PART004,PRD008,2026-01-13,1968-01-13,M,Gauteng,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000034,PART003,PRD006,2025-10-14,1969-10-14,F,KwaZulu-Natal,131200.0,865.92,Lapsed,2026-06-30,policies.csv,2026-09-03 13:30:17
POL000035,PART003,PRD006,2025-09-09,1978-09-09,M,Gauteng,119000.0,785.4,Cancelled,2026-02-09,policies.csv,2026-09-03 13:30:17
POL000036,PART005,PRD010,2025-10-12,1972-10-12,M,Western Cape,134400.0,470.4,Active,,policies.csv,2026-09-03 13:30:17
POL000037,PART001,PRD002,2026-03-16,1978-03-16,F,Gauteng,115300.0,714.86,Active,,policies.csv,2026-09-03 13:30:17
POL000038,PART005,PRD009,2026-04-23,1998-04-23,F,Gauteng,142200.0,597.24,Active,,policies.csv,2026-09-03 13:30:17
POL000039,PART005,PRD009,2026-04-23,1979-04-23,M,North West,186300.0,782.46,Active,,policies.csv,2026-09-03 13:30:17
POL000040,PART002,PRD003,2025-07-18,1966-07-18,M,Western Cape,50000.0,89.0,Cancelled,2025-12-18,policies.csv,2026-09-03 13:30:17
POL000041,PART004,PRD008,2026-01-17,2000-01-17,F,Limpopo,25000.0,39.67,Lapsed,2026-04-17,policies.csv,2026-09-03 13:30:17
POL000042,PART001,PRD001,2025-11-22,1979-11-22,F,Limpopo,30600.0,146.88,Active,,policies.csv,2026-09-03 13:30:17
POL000043,PART003,PRD006,2026-01-18,1984-01-18,F,Gauteng,94100.0,621.06,Active,,policies.csv,2026-09-03 13:30:17
POL000044,PART004,PRD007,2025-07-19,1983-07-19,F,Mpumalanga,159000.0,779.1,Active,,policies.csv,2026-09-03 13:30:17
POL000045,PART001,PRD002,2025-07-01,1988-07-01,F,North West,111000.0,688.2,Active,,policies.csv,2026-09-03 13:30:17
POL000046,PART001,PRD001,,1980-01-08,F,Gauteng,28300.0,135.84,Active,,policies.csv,2026-09-03 13:30:17
POL000047,PART001,PRD002,2025-12-22,1966-12-22,F,Western Cape,108300.0,671.46,Active,,policies.csv,2026-09-03 13:30:17
POL000048,PART002,PRD004,2025-12-23,2001-12-23,M,Gauteng,50000.0,74.5,Active,,policies.csv,2026-09-03 13:30:17
POL000049,PART001,PRD002,2025-11-08,1981-11-08,F,Gauteng,137600.0,853.12,Active,,policies.csv,2026-09-03 13:30:17
POL000050,PART005,PRD010,2025-10-26,1984-10-26,F,Gauteng,214900.0,752.15,Active,,policies.csv,2026-09-03 13:30:17
POL000051,PART004,PRD007,2025-12-29,1970-12-29,M,Gauteng,137300.0,672.77,Active,,policies.csv,2026-09-03 13:30:17
POL000052,PART003,PRD005,2026-02-03,2005-02-03,F,Gauteng,47000.0,258.5,Active,,policies.csv,2026-09-03 13:30:17
POL000053,PART005,PRD010,2025-10-24,1993-10-24,F,KwaZulu-Natal,176600.0,618.1,Active,,policies.csv,2026-09-03 13:30:17
POL000054,PART001,PRD002,2025-08-21,1970-08-21,M,KwaZulu-Natal,50100.0,310.62,Active,,policies.csv,2026-09-03 13:30:17
POL000055,PART001,PRD001,2025-08-04,1963-08-04,F,KwaZulu-Natal,55900.0,268.32,Active,,policies.csv,2026-09-03 13:30:17
POL000056,PART003,PRD005,2025-10-18,1961-10-18,M,Mpumalanga,72300.0,397.65,Active,,policies.csv,2026-09-03 13:30:17
POL000059,PART001,PRD001,2025-08-05,1966-08-05,M,KwaZulu-Natal,57900.0,277.92,Active,,policies.csv,2026-09-03 13:30:17
POL000060,PART001,PRD001,2025-07-01,1991-07-01,F,KwaZulu-Natal,69600.0,334.08,Active,,policies.csv,2026-09-03 13:30:17
POL000061,PART001,PRD001,2026-02-20,1972-02-20,M,Western Cape,21700.0,104.16,Active,,policies.csv,2026-09-03 13:30:17
POL000062,PART005,PRD010,2025-10-24,1961-10-24,M,Gauteng,199000.0,696.5,Active,,policies.csv,2026-09-03 13:30:17
POL000063,PART001,PRD002,2026-03-24,1971-03-24,M,Gauteng,53200.0,329.84,Active,,policies.csv,2026-09-03 13:30:17
POL000064,PART004,PRD008,2025-11-12,1997-11-12,F,Gauteng,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000065,PART005,PRD010,2026-02-25,1976-02-25,M,KwaZulu-Natal,90000.0,315.0,Active,,policies.csv,2026-09-03 13:30:17
POL000066,PART001,PRD001,2025-11-28,1970-11-28,M,Gauteng,49500.0,237.6,Active,,policies.csv,2026-09-03 13:30:17
POL000067,PART003,PRD006,2025-08-02,1969-08-02,M,Limpopo,118100.0,779.46,Active,,policies.csv,2026-09-03 13:30:17
POL000068,PART005,PRD009,2025-10-12,1981-10-12,F,KwaZulu-Natal,108400.0,455.28,Active,,policies.csv,2026-09-03 13:30:17
POL000069,PART005,PRD010,2026-01-30,1978-01-30,M,Gauteng,171200.0,599.2,Active,,policies.csv,2026-09-03 13:30:17
POL000070,PART005,PRD009,2025-08-05,1987-08-05,M,KwaZulu-Natal,266900.0,1120.98,Active,,policies.csv,2026-09-03 13:30:17
POL000071,PART004,PRD008,2026-02-09,1971-02-09,M,North West,100000.0,158.67,Active,,policies.csv,2026-09-03 13:30:17
POL000072,PART002,PRD004,2025-10-01,1961-10-01,F,Gauteng,100000.0,149.0,Active,,policies.csv,2026-09-03 13:30:17
POL000073,PART004,PRD007,2025-07-19,1995-07-19,F,Western Cape,88100.0,431.69,Active,,policies.csv,2026-09-03 13:30:17
POL000074,PART005,PRD010,2025-09-17,1961-09-17,F,Gauteng,185400.0,648.9,Active,,policies.csv,2026-09-03 13:30:17
POL000075,PART003,PRD006,2025-07-03,1988-07-03,M,North West,198100.0,1307.46,Active,,policies.csv,2026-09-03 13:30:17
POL000076,PART002,PRD003,2025-08-14,2003-08-14,F,Western Cape,75000.0,133.5,Active,,policies.csv,2026-09-03 13:30:17
POL000077,PART002,PRD003,2025-07-29,1988-07-29,M,Western Cape,75000.0,133.5,Lapsed,2026-04-28,policies.csv,2026-09-03 13:30:17
POL000078,PART004,PRD007,2026-03-16,1972-03-16,M,North West,128500.0,629.65,Cancelled,2026-06-30,policies.csv,2026-09-03 13:30:17
POL000079,PART004,PRD007,2026-02-04,1996-02-04,F,Mpumalanga,109400.0,536.06,Active,,policies.csv,2026-09-03 13:30:17
POL000080,PART003,PRD005,2026-02-02,1973-02-02,M,Western Cape,57400.0,315.7,Active,,policies.csv,2026-09-03 13:30:17
POL000081,PART001,PRD002,2025-10-11,1989-10-11,M,Gauteng,129700.0,804.14,Active,,policies.csv,2026-09-03 13:30:17
POL000082,PART001,PRD001,2026-04-26,1985-04-26,F,Gauteng,28200.0,135.36,Active,,policies.csv,2026-09-03 13:30:17
POL000083,PART003,PRD005,2025-12-17,1985-12-17,M,Western Cape,40800.0,224.4,Active,,policies.csv,2026-09-03 13:30:17
POL000084,PART005,PRD010,2026-03-18,1978-03-18,F,KwaZulu-Natal,239200.0,837.2,Cancelled,2026-06-18,policies.csv,2026-09-03 13:30:17
POL000085,PART002,PRD004,2025-08-16,1965-08-16,M,Eastern Cape,50000.0,74.5,Active,,policies.csv,2026-09-03 13:30:17
POL000086,PART001,PRD001,2025-08-17,1989-08-17,F,KwaZulu-Natal,69600.0,334.08,Active,,policies.csv,2026-09-03 13:30:17
POL000087,PART002,PRD003,2025-12-23,1991-12-23,F,Limpopo,100000.0,178.0,Active,,policies.csv,2026-09-03 13:30:17
POL000088,PART001,PRD002,2026-03-18,1998-03-18,F,KwaZulu-Natal,137500.0,852.5,Active,,policies.csv,2026-09-03 13:30:17
POL000089,PART005,PRD009,2025-11-21,1988-11-21,F,Eastern Cape,123900.0,520.38,Active,,policies.csv,2026-09-03 13:30:17
POL000090,PART001,PRD002,2025-11-01,1978-11-01,M,Gauteng,64700.0,401.14,Active,,policies.csv,2026-09-03 13:30:17
POL000091,PART004,PRD008,2025-08-03,1988-08-03,M,North West,100000.0,158.67,Active,,policies.csv,2026-09-03 13:30:17
POL000092,PART005,PRD009,2026-02-03,1968-02-03,M,Mpumalanga,126500.0,531.3,Active,,policies.csv,2026-09-03 13:30:17
POL000093,PART001,PRD001,2025-11-15,1981-11-15,M,KwaZulu-Natal,55900.0,268.32,Active,,policies.csv,2026-09-03 13:30:17
POL000094,PART001,PRD002,2025-09-24,2003-09-24,F,North West,78800.0,488.56,Active,,policies.csv,2026-09-03 13:30:17
POL000095,PART003,PRD005,2026-02-04,1986-02-04,F,Eastern Cape,26000.0,143.0,Active,,policies.csv,2026-09-03 13:30:17
POL000096,PART005,PRD009,2025-09-15,1996-09-15,M,Limpopo,125900.0,528.78,Active,,policies.csv,2026-09-03 13:30:17
POL000097,PART001,PRD002,2026-01-13,1974-01-13,F,Limpopo,69700.0,432.14,Lapsed,2026-06-30,policies.csv,2026-09-03 13:30:17
POL000098,PART003,PRD006,2025-11-17,1980-11-17,F,Limpopo,113800.0,751.08,Active,,policies.csv,2026-09-03 13:30:17
POL000099,PART001,PRD001,2026-02-28,1969-02-28,M,Limpopo,31200.0,149.76,Active,,policies.csv,2026-09-03 13:30:17
POL000100,PART001,PRD001,2025-11-14,1997-11-14,F,Gauteng,20600.0,98.88,Active,,policies.csv,2026-09-03 13:30:17
POL000101,PART004,PRD008,2025-12-19,1990-12-19,F,Gauteng,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000102,PART002,PRD003,2026-01-29,1963-01-29,M,Gauteng,75000.0,133.5,Active,,policies.csv,2026-09-03 13:30:17
POL000103,PART001,PRD001,2025-12-28,1972-12-28,M,North West,39600.0,190.08,Active,,policies.csv,2026-09-03 13:30:17
POL000104,PART001,PRD001,2026-01-05,1974-01-05,F,Western Cape,40100.0,192.48,Active,,policies.csv,2026-09-03 13:30:17
POL000105,PART004,PRD007,2026-04-15,1979-04-15,F,Mpumalanga,94700.0,464.03,Active,,policies.csv,2026-09-03 13:30:17
POL000106,PART002,PRD004,2026-03-17,1986-03-17,M,Gauteng,25000.0,37.25,Active,,policies.csv,2026-09-03 13:30:17
POL000107,PART001,PRD001,2025-09-12,1961-09-12,F,North West,55900.0,268.32,Active,,policies.csv,2026-09-03 13:30:17
POL000108,PART002,PRD003,2026-03-11,1969-03-11,M,Western Cape,100000.0,178.0,Active,,policies.csv,2026-09-03 13:30:17
POL000109,PART005,PRD010,2025-10-05,2003-10-05,F,North West,157800.0,552.3,Active,,policies.csv,2026-09-03 13:30:17
POL000110,PART005,PRD010,2026-01-19,1989-01-19,F,Gauteng,224500.0,785.75,Active,,policies.csv,2026-09-03 13:30:17
POL000111,PART002,PRD004,2026-01-25,1964-01-25,F,Gauteng,25000.0,37.25,Active,,policies.csv,2026-09-03 13:30:17
POL000112,PART002,PRD003,2025-07-21,1987-07-21,M,Gauteng,50000.0,89.0,Active,,policies.csv,2026-09-03 13:30:17
POL000113,PART005,PRD009,2026-02-23,1966-02-23,M,Western Cape,273900.0,1150.38,Active,,policies.csv,2026-09-03 13:30:17
POL000114,PART003,PRD006,2025-09-12,1969-09-12,F,Limpopo,116600.0,769.56,Active,,policies.csv,2026-09-03 13:30:17
POL000115,PART003,PRD006,2025-12-27,1982-12-27,M,Western Cape,155600.0,1026.96,Lapsed,2026-06-30,policies.csv,2026-09-03 13:30:17
POL000116,PART004,PRD008,2025-07-19,1997-07-19,F,Free State,100000.0,158.67,Active,,policies.csv,2026-09-03 13:30:17
POL000117,PART001,PRD002,2025-09-03,1999-09-03,M,KwaZulu-Natal,45700.0,283.34,Active,,policies.csv,2026-09-03 13:30:17
POL000118,PART003,PRD006,2026-04-25,1969-04-25,F,Western Cape,165600.0,1092.96,Active,,policies.csv,2026-09-03 13:30:17
POL000119,PART004,PRD008,2026-04-18,1995-04-18,F,Western Cape,25000.0,39.67,Active,,policies.csv,2026-09-03 13:30:17
POL000120,PART003,PRD006,2025-12-05,1978-12-05,M,Western Cape,158800.0,1048.08,Active,,policies.csv,2026-09-03 13:30:17
POL000121,PART003,PRD006,2026-03-14,1988-03-14,M,Mpumalanga,144100.0,951.06,Active,,policies.csv,2026-09-03 13:30:17
POL000122,PART004,PRD008,2025-09-20,1998-09-20,M,KwaZulu-Natal,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000123,PART001,PRD001,2025-10-22,1969-10-22,F,Eastern Cape,24400.0,117.12,Active,,policies.csv,2026-09-03 13:30:17
POL000124,PART004,PRD007,2025-12-31,1976-12-31,M,KwaZulu-Natal,153600.0,752.64,Active,,policies.csv,2026-09-03 13:30:17
POL000125,PART004,PRD008,2025-07-30,2004-07-30,F,Gauteng,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000126,PART001,PRD001,2025-08-17,1985-08-17,F,Gauteng,69900.0,335.52,Active,,policies.csv,2026-09-03 13:30:17
POL000127,PART001,PRD001,2025-11-20,1986-11-20,M,Mpumalanga,35000.0,168.0,Active,,policies.csv,2026-09-03 13:30:17
POL000128,PART005,PRD009,2025-08-15,1997-08-15,F,Western Cape,216300.0,908.46,Active,,policies.csv,2026-09-03 13:30:17
POL000129,PART003,PRD006,2025-12-04,1963-12-04,F,Eastern Cape,102500.0,676.5,Active,,policies.csv,2026-09-03 13:30:17
POL000130,PART001,PRD001,2026-03-18,1967-03-18,F,Western Cape,36800.0,176.64,Active,,policies.csv,2026-09-03 13:30:17
POL000131,PART002,PRD004,2025-09-23,2000-09-23,F,KwaZulu-Natal,25000.0,37.25,Cancelled,2026-05-23,policies.csv,2026-09-03 13:30:17
POL000132,PART005,PRD009,2025-12-20,2004-12-20,M,Mpumalanga,256200.0,1076.04,Active,,policies.csv,2026-09-03 13:30:17
POL000133,PART001,PRD002,2025-12-22,1974-12-22,F,Eastern Cape,52400.0,324.88,Active,,policies.csv,2026-09-03 13:30:17
POL000134,PART001,PRD002,2025-07-13,1979-07-13,M,Eastern Cape,127900.0,792.98,Lapsed,2025-12-13,policies.csv,2026-09-03 13:30:17
POL000135,PART003,PRD006,2026-03-21,2001-03-21,M,Free State,102000.0,673.2,Active,,policies.csv,2026-09-03 13:30:17
POL000136,PART003,PRD006,2025-11-14,1976-11-14,F,Mpumalanga,133800.0,883.08,Active,,policies.csv,2026-09-03 13:30:17
POL000137,PART003,PRD006,2025-08-13,2001-08-13,M,North West,166100.0,1096.26,Active,,policies.csv,2026-09-03 13:30:17
POL000138,PART003,PRD006,2026-03-03,2000-03-03,M,Gauteng,74400.0,491.04,Active,,policies.csv,2026-09-03 13:30:17
POL000139,PART001,PRD002,2025-08-12,1982-08-12,M,Eastern Cape,79700.0,494.14,Active,,policies.csv,2026-09-03 13:30:17
POL000141,PART004,PRD007,2026-02-12,1984-02-12,M,Western Cape,136900.0,670.81,Active,,policies.csv,2026-09-03 13:30:17
POL000142,PART005,PRD010,2025-11-01,1973-11-01,F,Gauteng,103400.0,361.9,Active,,policies.csv,2026-09-03 13:30:17
POL000143,PART001,PRD001,2025-12-27,1961-12-27,M,Gauteng,34400.0,165.12,Active,,policies.csv,2026-09-03 13:30:17
POL000144,PART004,PRD008,2025-10-14,1990-10-14,F,Gauteng,75000.0,119.0,Active,,policies.csv,2026-09-03 13:30:17
POL000145,PART005,PRD009,2025-09-17,1985-09-17,F,Mpumalanga,295700.0,1241.94,Active,,policies.csv,2026-09-03 13:30:17
POL000146,PART002,PRD003,2026-03-15,1990-03-15,M,Western Cape,50000.0,89.0,Cancelled,2026-06-15,policies.csv,2026-09-03 13:30:17
POL000147,PART002,PRD004,2025-07-18,1971-07-18,F,Gauteng,50000.0,74.5,Active,,policies.csv,2026-09-03 13:30:17
POL000148,PART004,PRD007,2026-03-07,1995-03-07,M,Mpumalanga,129700.0,635.53,Active,,policies.csv,2026-09-03 13:30:17
POL000149,PART003,PRD005,2026-01-10,1999-01-10,F,Western Cape,99400.0,546.7,Active,,policies.csv,2026-09-03 13:30:17
POL000150,PART004,PRD008,2026-03-29,1992-03-29,M,KwaZulu-Natal,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000151,PART002,PRD004,2025-12-11,1991-12-11,F,North West,75000.0,111.75,Lapsed,2026-03-11,policies.csv,2026-09-03 13:30:17
POL000152,PART004,PRD008,2025-12-21,1984-12-21,F,Gauteng,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000153,PART002,PRD003,2025-07-22,1981-07-22,M,Gauteng,75000.0,133.5,Active,,policies.csv,2026-09-03 13:30:17
POL000154,PART002,PRD003,2025-10-19,1968-10-19,F,North West,100000.0,178.0,Lapsed,2026-02-19,policies.csv,2026-09-03 13:30:17
POL000155,PART003,PRD006,2026-03-11,1984-03-11,F,North West,193600.0,1277.76,Active,,policies.csv,2026-09-03 13:30:17
POL000156,PART002,PRD003,2026-01-04,1967-01-04,F,Mpumalanga,100000.0,178.0,Active,,policies.csv,2026-09-03 13:30:17
POL000157,PART005,PRD010,2025-10-17,1998-10-17,M,Gauteng,216000.0,756.0,Active,,policies.csv,2026-09-03 13:30:17
POL000158,PART003,PRD006,2025-09-22,1971-09-22,F,Gauteng,192800.0,1272.48,Active,,policies.csv,2026-09-03 13:30:17
POL000159,PART003,PRD006,2025-08-10,1991-08-10,F,Western Cape,149300.0,985.38,Active,,policies.csv,2026-09-03 13:30:17
POL000160,PART003,PRD005,2025-08-23,1980-08-23,F,North West,56800.0,312.4,Lapsed,2025-10-23,policies.csv,2026-09-03 13:30:17
POL000161,PART002,PRD003,2025-12-15,1989-12-15,M,Western Cape,50000.0,89.0,Active,,policies.csv,2026-09-03 13:30:17
POL000162,PART001,PRD001,2025-09-26,1973-09-26,M,Mpumalanga,56800.0,272.64,Active,,policies.csv,2026-09-03 13:30:17
POL000163,PART001,PRD002,2026-03-06,1998-03-06,M,Western Cape,131100.0,812.82,Active,,policies.csv,2026-09-03 13:30:17
POL000164,PART004,PRD007,2025-08-20,1985-08-20,F,Gauteng,99600.0,488.04,Active,,policies.csv,2026-09-03 13:30:17
POL000165,PART005,PRD009,2026-01-02,1981-01-02,F,Western Cape,129500.0,543.9,Active,,policies.csv,2026-09-03 13:30:17
POL000166,PART003,PRD005,2025-10-09,1970-10-09,M,Western Cape,48300.0,265.65,Active,,policies.csv,2026-09-03 13:30:17
POL000167,PART004,PRD007,2025-11-01,1980-11-01,M,KwaZulu-Natal,156800.0,768.32,Active,,policies.csv,2026-09-03 13:30:17
POL000168,PART005,PRD009,2025-10-09,1989-10-09,M,Western Cape,111900.0,469.98,Active,,policies.csv,2026-09-03 13:30:17
POL000169,PART005,PRD010,2025-11-15,1976-11-15,M,Mpumalanga,215100.0,752.85,Active,,policies.csv,2026-09-03 13:30:17
POL000170,PART001,PRD001,2026-02-08,1964-02-08,F,Gauteng,56700.0,272.16,Active,,policies.csv,2026-09-03 13:30:17
POL000171,PART004,PRD007,2025-11-08,1983-11-08,M,Free State,184800.0,905.52,Active,,policies.csv,2026-09-03 13:30:17
POL000172,PART001,PRD001,2025-12-05,1984-12-05,M,Eastern Cape,30000.0,144.0,Active,,policies.csv,2026-09-03 13:30:17
POL000173,PART004,PRD008,2025-07-31,1999-07-31,M,Western Cape,75000.0,119.0,Active,,policies.csv,2026-09-03 13:30:17
POL000174,PART004,PRD008,2026-01-18,1969-01-18,M,Western Cape,50000.0,79.33,Active,,policies.csv,2026-09-03 13:30:17
POL000175,PART002,PRD003,2026-02-14,1990-02-14,F,Gauteng,100000.0,178.0,Active,,policies.csv,2026-09-03 13:30:17
POL000176,PART005,PRD010,2025-07-12,1998-07-12,F,Gauteng,122100.0,427.35,Lapsed,2025-12-12,policies.csv,2026-09-03 13:30:17
POL000177,PART001,PRD001,2026-03-17,2003-03-17,F,Western Cape,54000.0,259.2,Active,,policies.csv,2026-09-03 13:30:17
POL000178,PART001,PRD002,2025-12-22,1961-12-22,F,Limpopo,91900.0,569.78,Active,,policies.csv,2026-09-03 13:30:17
POL000179,PART003,PRD005,2025-12-21,1990-12-21,M,Eastern Cape,66500.0,365.75,Active,,policies.csv,2026-09-03 13:30:17
POL000180,PART001,PRD002,2025-11-19,1984-11-19,F,Mpumalanga,134800.0,835.76,Lapsed,2026-01-19,policies.csv,2026-09-03 13:30:17
POL000181,PART004,PRD008,2026-01-17,1974-01-17,M,Mpumalanga,25000.0,39.67,Active,,policies.csv,2026-09-03 13:30:17
POL000182,PART004,PRD008,2025-07-01,1972-07-01,M,Free State,25000.0,39.67,Active,,policies.csv,2026-09-03 13:30:17
POL000183,PART004,PRD007,2025-11-27,1964-11-27,F,Gauteng,90400.0,442.96,Active,,policies.csv,2026-09-03 13:30:17
POL000184,PART001,PRD001,2025-10-04,2000-10-04,M,Free State,61400.0,294.72,Active,,policies.csv,2026-09-03 13:30:17
POL000185,PART004,PRD007,2026-02-18,2005-02-18,F,Gauteng,135900.0,665.91,Active,,policies.csv,2026-09-03 13:30:17
POL000186,PART003,PRD006,2026-04-07,2003-04-07,M,Western Cape,163300.0,1077.78,Active,,policies.csv,2026-09-03 13:30:17
POL000187,PART003,PRD005,2025-09-28,1989-09-28,F,Western Cape,83500.0,459.25,Active,,policies.csv,2026-09-03 13:30:17
POL000188,PART005,PRD009,2026-01-22,1962-01-22,M,Free State,268900.0,1129.38,Active,,policies.csv,2026-09-03 13:30:17
POL000189,PART004,PRD008,2025-09-06,1998-09-06,F,Gauteng,75000.0,119.0,Active,,policies.csv,2026-09-03 13:30:17
POL000190,PART004,PRD007,2026-03-30,2000-03-30,M,Western Cape,73000.0,357.7,Active,,policies.csv,2026-09-03 13:30:17
POL000191,PART005,PRD009,2026-02-17,2006-02-17,M,Western Cape,231700.0,973.14,Active,,policies.csv,2026-09-03 13:30:17
POL000192,PART001,PRD001,2025-09-23,2000-09-23,M,Gauteng,60800.0,291.84,Active,,policies.csv,2026-09-03 13:30:17
POL000193,PART002,PRD004,2026-01-20,1984-01-20,M,KwaZulu-Natal,25000.0,37.25,Active,,policies.csv,2026-09-03 13:30:17
POL000194,PART003,PRD006,2025-08-21,2000-08-21,F,Western Cape,195400.0,1289.64,Lapsed,2025-11-21,policies.csv,2026-09-03 13:30:17
POL000195,PART002,PRD004,2025-09-04,1992-09-04,M,KwaZulu-Natal,100000.0,149.0,Active,,policies.csv,2026-09-03 13:30:17
POL000196,PART001,PRD002,2026-02-02,2001-02-02,M,Limpopo,37700.0,233.74,Active,,policies.csv,2026-09-03 13:30:17
POL000197,PART001,PRD002,2026-03-05,1984-03-05,M,Gauteng,55600.0,344.72,Active,,policies.csv,2026-09-03 13:30:17
POL000198,PART003,PRD005,2025-11-27,1994-11-27,M,Gauteng,38500.0,211.75,Active,,policies.csv,2026-09-03 13:30:17
POL000199,PART003,PRD005,2026-03-11,1977-03-11,M,Western Cape,30900.0,169.95,Active,,policies.csv,2026-09-03 13:30:17
POL000200,PART004,PRD007,2025-09-18,1971-09-18,M,Free State,107600.0,527.24,Lapsed,2026-02-18,policies.csv,2026-09-03 13:30:17
POL000201,PART005,PRD009,2026-03-28,1995-03-28,F,Gauteng,233400.0,980.28,Cancelled,2026-06-30,policies.csv,2026-09-03 13:30:17
